Supplier(7),VendorStockCode(30),VendorDescription(30),UnitOfMeasure(3),ListPrice,POPrice,DiscountCode,MinimumPOQuantity,ProductClass(4)
WEIN001,CMT3072X,"WEINTEK 7"" 800X480 UL 4X INDOO",EA,$575 ,,WE3,,WE03
WEIN001,CMT3072XH,"WEINTEK 7"" 1024X600 UL 4X INDO",EA,$635 ,,WE3,,WE03
WEIN001,CMT3072XHT,"WEINTEK 7"" 1024X600 N4, IP66",EA,$739 ,,WE3,,WE03
WEIN001,CMT3092X,"WEINTEK 9.7"" 1024X768 UL 4X IN",EA,"$1,045 ",,WE3,,WE03
WEIN001,CMT3102X,"WEINTEK 10.1"" 1024X600 UL 4X I",EA,"$1,045 ",,WE3,,WE03
WEIN001,CMT3108XH,"WEINTEK 10.1"" 1280X800 UL 4X I",EA,"$1,145 ",,WE3,,WE03
WEIN001,CMT3152X,"WEINTEK 15"" 1024X768 N4, IP66",EA,"$1,969 ",,WE3,,WE03
WEIN001,CMT3162X,"WEINTEK 15.6"" 1920X1080 N4, IP",EA,"$1,609 ",,WE3,,WE03
WEIN001,CMT2078X,"WEINTEK 7"" 800X480 UL 4X INDOO",EA,$479 ,,WE3,,WE03
WEIN001,CMT2108X2,"WEINTEK 10.1"" 1024X600 UL 4X I",EA,$875 ,,WE3,,WE03
WEIN001,CMT2158X,"WEINTEK 15"" 1024X768 UL 4X IND",EA,"$1,759 ",,WE3,,WE03
WEIN001,CMT2166X,"WEINTEK 15.6"" 1920X1080 N4, IP",EA,"$1,309 ",,WE3,,WE03
WEIN001,CMT-SVR-100,WEINTEK FACELESS CMT VIEWER  I,EA,$325 ,,WE3,,WE03
WEIN001,CMT-SVR-102,WEINTEK FACELESS CMT VIEWER  I,EA,$425 ,,WE3,,WE03
WEIN001,CMT-SVR-200,WEINTEK FACELESS CMT VIEWER  I,EA,$425 ,,WE3,,WE03
WEIN001,CMT-SVR-202,WEINTEK FACELESS CMT VIEWER  I,EA,$525 ,,WE3,,WE03
WEIN001,CMT-SVRX-820,WEINTEK FACELESS CMT VIEWER  I,EA,$449 ,,WE3,,WE03
WEIN001,CMT-FHDX-820,WEINTEK HDMI 1080P OUTPUT FULL,EA,$725 ,,WE3,,WE03
WEIN001,CMT-G01,WEINTEK IIOT GATEWAYS IP20,EA,$425 ,,WE3,,WE03
WEIN001,CMT-G02,WEINTEK IIOT GATEWAYS IP20,EA,$525 ,,WE3,,WE03
WEIN001,CMT-G03,WEINTEK IIOT GATEWAYS IP20,EA,$425 ,,WE3,,WE03
WEIN001,CMT-G04,WEINTEK IIOT GATEWAYS IP20,EA,$425 ,,WE3,,WE03
WEIN001,CMT-CTRL-01,WEINTEK PLC  ,EA,$669 ,,WE3,,WE03
WEIN001,IR-ETN,WEINTEK COUPLER MODBUS TCP,EA,$169 ,,WE3,,WE03
WEIN001,IR-COP,WEINTEK COUPLER CAN OPEN ,EA,$169 ,,WE3,,WE03
WEIN001,IR-ECAT,WEINTEK COUPLER ETHERCAT ,EA,$199 ,,WE3,,WE03
WEIN001,IR-ETN40R,WEINTEK DIG MODB TCP/IP,EA,$339 ,,WE3,,WE03
WEIN001,IR-DM16-N,WEINTEK I/O  DIGITAL,EA,$119 ,,WE3,,WE03
WEIN001,IR-DM16-P,WEINTEK I/O  DIGITAL,EA,$119 ,,WE3,,WE03
WEIN001,IR-DI16-K,WEINTEK I/O  DIGITAL,EA,$119 ,,WE3,,WE03
WEIN001,IR-DQ16-P,WEINTEK I/O  DIGITAL,EA,$119 ,,WE3,,WE03
WEIN001,IR-DQ16-N,WEINTEK I/O  DIGITAL,EA,$119 ,,WE3,,WE03
WEIN001,IR-DQ08-R,WEINTEK I/O  DIGITAL,EA,$119 ,,WE3,,WE03
WEIN001,IR-AI04-VI,WEINTEK I/O  ANALOG,EA,$169 ,,WE3,,WE03
WEIN001,IR-AQ04-VI,WEINTEK I/O  ANALOG,EA,$169 ,,WE3,,WE03
WEIN001,IR-AM06-VI,WEINTEK I/O  ANALOG,EA,$189 ,,WE3,,WE03
WEIN001,IR-AI04-TR,WEINTEK I/O  TEMP,EA,$179 ,,WE3,,WE03
WEIN001,IR-PU01-P,WEINTEK I/O  MOTION,EA,$299 ,,WE3,,WE03
WEIN001,MT8051IE,"WEINTEK 4.3"" 480X272 UL 4X IND",EA,$339 ,,WE3,,WE03
WEIN001,MT8053IE,"WEINTEK 4.3"" 480X272 UL 4X IND",EA,$409 ,,WE3,,WE03
WEIN001,MT8071IE,"WEINTEK 7"" 800X480 UL 4X INDOO",EA,$435 ,,WE3,,WE03
WEIN001,MT8070IE,"WEINTEK 7"" 800X480 UL 4X INDOO",EA,$635 ,,WE3,,WE03
WEIN001,MT8071IER,"WEINTEK 7"" 800X480 N4, IP65",EA,$635 ,,WE3,,WE03
WEIN001,MT8102IEU,"WEINTEK 10.1"" 1024X600 UL 4X I",EA,$685 ,,WE3,,WE03
WEIN001,MT8090XE,"WEINTEK 9.7"" 1024X768 N4, IP65",EA,$745 ,,WE3,,WE03
WEIN001,MT8121XE1,"WEINTEK 12.1"" 1024X768 UL 4X I",EA,"$1,485 ",,WE3,,WE03
WEIN001,MT8121XE3,"WEINTEK 12.1"" 1024X768 N4, IP6",EA,"$1,085 ",,WE3,,WE03
WEIN001,MT8051IP,"WEINTEK 4.3"" 480X272 N4, IP65",EA,$269 ,,WE3,,WE03
WEIN001,MT8071IP,"WEINTEK 7"" 800X480 N4, IP65",EA,$329 ,,WE3,,WE03
WEIN001,MT8071IP2,"WEINTEK 7"" 800X480 N4, IP65",EA,$329 ,,WE3,,WE03
WEIN001,MT8102IP,"WEINTEK 10.1"" 1024X600 N4, IP6",EA,$589 ,,WE3,,WE03
WEIN001,M02 WIFI MODULE,WEINTEK COMPATIBLE WITH CMT310,EA,$89 ,,WE3,,WE03
WEIN001,RZACEA020,WEINTEK EASYACCESS 2.0 ACTIVAT,EA,$99 ,,WE3,,WE03
